職缺內容,公司名稱,內容,地址,薪資,網址
Python程式設計師,捷智商訊科技股份有限公司,"【工作內容】
主要研發 NLP 相關產品
1. 爬取網路資料
2. 產品開發
3. 產品維運
4. 學習並實施 NLP, BERT 相關技術

【需求條件】
1. 熟悉 Python
2. 任何 Database 經驗
3. 具有程式開發熱情
4",台北市松山區,"月薪33,000~38,000元",//www.104.com.tw/job/79uza?jobsource=jolist_c_relevance
Python網站工程師,學力創意股份有限公司,"-Python 監控與維運系統開發
-熟悉Python編程語言
-設計編寫API
-系統維運
-技術文件撰寫

【職務條件】
-具有 Git 版本控制相關知識
-熟悉 Linux 基本常見指令
-可獨立或與團隊合作，工作態度積極、負責，能配合公司",台北市大安區,待遇面議,//www.104.com.tw/job/72zcd?jobsource=jolist_c_relevance
python軟體工程師,德義資訊股份有限公司,"1.Django 基本經驗.
2.Web 前端技術

工作說明
* 協助已上線的Django 專案建置多語系事宜 , 需要跟內部IT團隊合作.  主要的工作如下
 i.  查找代碼, 建置語系檔
ii.  協助將中文字段轉成語系檔 , 並測試.
*負責前端網頁開發
*負責專案文件製作 , 協助團隊部份行政事務.",台北市大安區,待遇面議,//www.104.com.tw/job/5yq25?jobsource=jolist_c_relevance
Python後端開發工程師(DevOps整合平台),易勝資訊股份有限公司,"1.熟悉 Python Flask 開發架構
2. 具有實務 API 開發經驗
3.熟悉 K8s 與 DevOps 相關實務開發經驗者佳",台北市松山區,待遇面議,//www.104.com.tw/job/7asvo?jobsource=jolist_c_relevance
後端工程師 (Python),博弘雲端科技股份有限公司," 基本指令使用
* 使用 Git 版控
* 具備 Python 1年以上的開發經驗
* 曾使用過MySQL, MongoDB, Redis
* 對雲端服務(AWS、Azure、GCP…) 有一定了解尤佳

【加分條件】
* 除Python外的第二種",台北市中山區,待遇面議,//www.104.com.tw/job/7b26m?jobsource=jolist_c_relevance
Python Engineer 線上面試,Big Go_樂方股份有限公司,"BigGo - Python 程式設計師 高雄 / Work From Home
BigGo是全球第一間跨境的商品搜尋引擎，是東南亞最大的比價服務網站。我們正在為全球市場招募Python 工程師。
BigGo 用了數十種不同的程式語言再各種地方，",高雄市鼓山區,"月薪30,000~60,000元",//www.104.com.tw/job/63ffy?jobsource=jolist_c_relevance
Python資深/工程師,春水堂科技娛樂股份有限公司,"1. 用戶行為資料分析
2. 用戶分群模式規劃與設計
3. 熟關聯式資料庫SQL語法以及MongoDB和Redis操作
4. 使用Python Web framework實務開發經驗
5. 熟Restful API開發
6. 熟SVN和GIT版控",台北市內湖區,待遇面議,//www.104.com.tw/job/77pnl?jobsource=jolist_c_relevance
Python Senior Engineer 線上面試,Big Go_樂方股份有限公司,"BigGo - Python 資深程式設計師 高雄 / 台北 
BigGo是全球第一間跨境的商品搜尋引擎，是台灣與泰國最大的比價服務網站。我們正在為全球市場招募Python 工程師。
BigGo 用了數十種不同的程式語言再各種地方，但是最重要的就",高雄市鼓山區,"月薪50,000~80,000元",//www.104.com.tw/job/70972?jobsource=jolist_c_relevance
網頁Python爬蟲工程師,禾益豐有限公司,"使用Python 建立爬蟲程式分析數據、設計以及程式撰寫
2.維護與監測平行處理爬蟲狀態
3.熟悉網路爬蟲技術或有爬蟲經驗
4.具備自我學習及研究的能力。
5.執行客製專案並能獨立作業上線",彰化縣埔心鄉,"月薪35,000~60,000元",//www.104.com.tw/job/75wxl?jobsource=jolist_c_relevance
Python Backend Engineer (junior and mid-level),摩爾空間有限公司,"開發網站服務

需求
1. 熟悉 Python
2. 熟悉 Django
3. 熟悉一種關聯式資料庫
4. 具備網站開發知識
5. 有 Linux, Docker 的使用經驗
6. 基本了解 HTML, CSS, Javascript,",台北市中山區,"月薪45,000~65,000元",//www.104.com.tw/job/7317l?jobsource=jolist_c_relevance
Python 工程師,台灣宸運雲端有限公司,"工作內容：
- Python 監控與維運系統開發/DevOps。

職務要求： 
- Python 實務開發經驗。
- 熟悉 JSON 、RESTful Web Services。
- 具有 Git 版本控制相關知識。
- 熟悉 Linux 基本",台中市西屯區,"月薪35,000~65,000元",//www.104.com.tw/job/6guen?jobsource=jolist_c_relevance
Python軟體工程師 (Acoustics)(派駐海外),鴻海集團_英屬開曼群島商鴻騰精密科技股份有限公司台灣分公司,"1.廠測程式開發，問題排除，整體效能優化
2.On Site協助工廠完成生產測試程式驗證及導入
3.開發Lab自動化測試腳本
4.與產線人員協力解決程式bug及更新
5.撰寫測試程式說明文件",新北市土城區,待遇面議,//www.104.com.tw/job/7a7hl?jobsource=jolist_c_relevance
Python 資料分析師,干城數碼有限公司,"1.使用統計、機器學習、深度學習等演算法進行建模
2.協助定義商業問題以及方法論，定義假說以及指標，調整設計數據模型 
3.資料分析專案管理 
4.負責專案之提案/執行
5.銷量預測、零件用量預測、「線性規劃方法」作優化產品生產計畫",台北市中山區,待遇面議,//www.104.com.tw/job/6vg27?jobsource=jolist_c_relevance
Python 工程師,固特斯股份有限公司,"熟悉 Python 程式語言
對於mySQL NOSQL有基本的認知
熟悉 Linux作業系統
熟悉網路架構為佳
後端API接口的設計、開發和維護
維護Linux後台系統

對於學習新東西有熱誠, 
",台中市西區,"月薪35,000~55,000元",//www.104.com.tw/job/6ii07?jobsource=jolist_c_relevance
Python工程師,米約科技有限公司,"1.熟悉數據結構和演算法
2.熟悉 Python 編程語言， 有大型項目架構經驗優先
3.熟悉至少一種關係型數據庫 MySQL， PostgreSQL
4.熟悉至少一樣web框架， tornado/sanic/flask/Django, 並能掌握",台北市中山區,待遇面議,//www.104.com.tw/job/6zey2?jobsource=jolist_c_relevance
Python 後端工程師,創奕能源科技股份有限公司,"1. 負責平台後端開發、維護及優化 
2. 負責平台與第三方服務之串接 
3. 熟悉RESTful API使用 
4. 具備Python使用經驗 
5. 具備MySQL使用經驗 
6. 具備Git/Gitflow操作，包含branch、",桃園市中壢區,待遇面議,//www.104.com.tw/job/718o5?jobsource=jolist_a_relevance
Python軟體工程師,宅急網股份有限公司,"工作項目：
1. 爬取股市相關資料的分析。
2. 撰寫股票選股策略。
3. Python程式設計。
4. MySQL資料庫管理。
5. 主管交辦事項。


此職務需具備以下特質：
1. 熟悉Python程式、MySQL資料庫語法",桃園市桃園區,待遇面議,//www.104.com.tw/job/7av6x?jobsource=jolist_a_relevance
Python Engineer 線上面試,Big Go_樂方股份有限公司,"BigGo - Python 程式設計師 高雄 / Work From Home
BigGo是全球第一間跨境的商品搜尋引擎，是東南亞最大的比價服務網站。我們正在為全球市場招募Python 工程師。
BigGo 用了數十種不同的程式語言再各種地方，",高雄市鼓山區,"月薪30,000~60,000元",//www.104.com.tw/job/63ffy?jobsource=jolist_a_relevance
Python軟體工程師,工智聯科技股份有限公司,"1. Python 後端開發。
2. 熟悉資料庫C語言/MySQL者佳。
3. 熟悉 Linux開發環境者優先。
4. 有OpenCV經驗者佳。
5. 有Web/APP API經驗者佳。",新北市土城區,待遇面議,//www.104.com.tw/job/6ulns?jobsource=jolist_a_relevance
資深Python工程師,米約科技有限公司,"工作內容
1. 系統開發與維護
2. 監控資料庫效能，適時針對 SQL語法效能優化
3. 產品需求評估，參與專案執行
4. 第三方API整合、API開發
5. 規劃執行數據備援、修補計畫
6. 開發文件落實",台北市中山區,待遇面議,//www.104.com.tw/job/7469r?jobsource=jolist_a_relevance
後端工程師 (Python),博弘雲端科技股份有限公司," 基本指令使用
* 使用 Git 版控
* 具備 Python 1年以上的開發經驗
* 曾使用過MySQL, MongoDB, Redis
* 對雲端服務(AWS、Azure、GCP…) 有一定了解尤佳

【加分條件】
* 除Python外的第二種",台北市中山區,待遇面議,//www.104.com.tw/job/7b26m?jobsource=jolist_a_relevance
Python 資料分析師,干城數碼有限公司,"1.使用統計、機器學習、深度學習等演算法進行建模
2.協助定義商業問題以及方法論，定義假說以及指標，調整設計數據模型 
3.資料分析專案管理 
4.負責專案之提案/執行
5.銷量預測、零件用量預測、「線性規劃方法」作優化產品生產計畫",台北市中山區,待遇面議,//www.104.com.tw/job/6vg27?jobsource=jolist_a_relevance
Python程式線上直播課程講師,聯成電腦有限公司(聯成電腦/聯成外語),"目前我們正在招募線上直播程式講師，希望對直播程式教學有熱情，喜歡在直播教室線上和學員互動，舉辦實體Workshop技術交流會。
職務說明： 
主要教授Python程式語言，運用在量化投資、量化分析領域。
配合度高可長期授課，授課專業能力佳，",台北市大安區,"時薪700~1,000元",//www.104.com.tw/job/6nu69?jobsource=jolist_a_relevance
Python全端工程師,宏佳騰動力科技股份有限公司,"擅長工具】
1.Python(Flask)
2.JavaScript
3.HTML
4.jQuery

【其他能力需求】
1.熟悉SQL、NoSQL資料庫
2.有RESTful API 設計及實作經驗
3.熟悉 Git 

【加分項目】
1.熟悉",新北市板橋區,待遇面議,//www.104.com.tw/job/6s9aa?jobsource=jolist_a_relevance
Python程式設計師,捷智商訊科技股份有限公司,"【工作內容】
主要研發 NLP 相關產品
1. 爬取網路資料
2. 產品開發
3. 產品維運
4. 學習並實施 NLP, BERT 相關技術

【需求條件】
1. 熟悉 Python
2. 任何 Database 經驗
3. 具有程式開發熱情
4",台北市松山區,"月薪33,000~38,000元",//www.104.com.tw/job/79uza?jobsource=jolist_a_relevance
[學生實習] Python網站工程師,學力創意股份有限公司,"-Python 監控與維運系統開發
-熟悉Python編程語言
-設計編寫API
-系統維運
-技術文件撰寫

【職務條件】
-具有 Git 版本控制相關知識
-熟悉 Linux 基本常見指令
-可獨立或與團隊合作，工作態度積極、負責，能配合公司",台北市大安區,時薪160~180元,//www.104.com.tw/job/7anci?jobsource=jolist_a_relevance
(Big Data Team) Python Backend Engineer,伊諾科技有限公司,"我們期待您在加入伊諾後，不會只想安逸的當一個只召喚爬蟲的 Python 攻城獅，而是渴望挑戰以前沒做過的各種任務。在工作中學習，經由學習來完成任務，藉由完成任務的經驗來造就大神。

當公司業務需要資料來支持時，開發團隊會希望 Python 工",台北市內湖區,待遇面議,//www.104.com.tw/job/6ucvg?jobsource=jolist_a_relevance
【IE】系統開發工程師 (Python),日月光半導體製造股份有限公司中壢分公司,"1、客製化系統開發
2、專案改善(CIM專案、成本改善專案、製程改善專案)
3、擁有Python開發經驗",桃園市中壢區,"月薪37,000~100,000元",//www.104.com.tw/job/4lz48?jobsource=jolist_a_relevance
Python 程式設計師,綠界科技股份有限公司,"1.Python 1 年以上的網站開發經驗、熟 Pyramid Framework 佳
2.熟 vue.js 
3.懂 MySQL、PostgreSQL 
4.懂 HTML、JavaScript、CSS 等相關應用
5.熟 GIT 版控",台北市南港區,"月薪40,000~60,000元",//www.104.com.tw/job/6p5b1?jobsource=jolist_a_relevance
Python 後端工程師,莫比無限科技股份有限公司,"Rust，Python, Golang。我們的前端技術用 Vue.js，Swift，Kotlin。

由於我們已遠端工作為主，WFH and flex hours是我們的常態，所以我們的理想隊友需要：
1. 有自主性，工作是搶著做不是推著做。
2.",新北市新店區,"月薪60,000元以上",//www.104.com.tw/job/7azfj?jobsource=jolist_a_relevance
Python 網站工程師,黃金娛樂科技有限公司,"1. 熟悉Python語言撰寫實務經驗1年以上。
2. 熟悉關係型數據庫 MySQL、MS SQL。
3. 熟悉 JSON 、RESTful Web Services。
4. 熟SVN和GIT版控工具。
5. 了解常用的異步編程手段",台北市內湖區,待遇面議,//www.104.com.tw/job/7aujs?jobsource=jolist_a_relevance
開發運維工程師(Python) DevOps Engineer,倫發科技有限公司,"1.閱讀英文API文件
2.在Linux環境下用Python開發網頁應用
3.負責REST API 的開發和迭代，持續優化產品的效能和質量
4.參與.討論.協助系統架構設計
5.協助建置CI/CD流程，提升交付速度與穩定性
",台北市內湖區,待遇面議,//www.104.com.tw/job/70v91?jobsource=jolist_a_relevance
後端工程師(Python),台灣幣蜂數位有限公司,"職務描述
1、用Python架構、設計、實現產品的後端
2、數據驅動，不斷通過產品和技術數據進行改進，並完成快速迭代
3、與QA合作進行測試、改進和問題修復工作

希望您是
1、本科及以上學歷，計算機或相關專業
2、熟悉掌握至少一門編程語言，如",台北市內湖區,"月薪60,000元以上",//www.104.com.tw/job/7aecq?jobsource=jolist_a_relevance
資深後端工程師(python),台灣幣蜂數位有限公司,"

1.熟悉 linux c/c++ 、go、python ，java 的一種或多種；
2.熟悉網絡編程，深入理解 HTTP、TCP/IP 等網絡協議；
3.深入理解數據庫或 NOSQL 系統，有實際數據庫調優或 NOSQL 使用經驗；
4.深刻理",台北市內湖區,"月薪80,000~120,000元",//www.104.com.tw/job/7aeco?jobsource=jolist_a_relevance
Python Backend Engineer (junior and mid-level),摩爾空間有限公司,"開發網站服務

需求
1. 熟悉 Python
2. 熟悉 Django
3. 熟悉一種關聯式資料庫
4. 具備網站開發知識
5. 有 Linux, Docker 的使用經驗
6. 基本了解 HTML, CSS, Javascript,",台北市中山區,"月薪45,000~65,000元",//www.104.com.tw/job/7317l?jobsource=jolist_a_relevance
Python系統工程師,移動商務股份有限公司,【Job Description】,台北市南港區,待遇面議,//www.104.com.tw/job/6svc5?jobsource=jolist_c_relevance
Python 後端工程師,莫比無限科技股份有限公司,"Rust，Python, Golang。我們的前端技術用 Vue.js，Swift，Kotlin。

由於我們已遠端工作為主，WFH and flex hours是我們的常態，所以我們的理想隊友需要：
1. 有自主性，工作是搶著做不是推著做。
2.",新北市新店區,"月薪60,000元以上",//www.104.com.tw/job/7azfj?jobsource=jolist_c_relevance
後端工程師(Python),台灣幣蜂數位有限公司,"職務描述
1、用Python架構、設計、實現產品的後端
2、數據驅動，不斷通過產品和技術數據進行改進，並完成快速迭代
3、與QA合作進行測試、改進和問題修復工作

希望您是
1、本科及以上學歷，計算機或相關專業
2、熟悉掌握至少一門編程語言，如",台北市內湖區,"月薪60,000元以上",//www.104.com.tw/job/7aecq?jobsource=jolist_c_relevance
Python 後端工程師,創奕能源科技股份有限公司,"1. 負責平台後端開發、維護及優化 
2. 負責平台與第三方服務之串接 
3. 熟悉RESTful API使用 
4. 具備Python使用經驗 
5. 具備MySQL使用經驗 
6. 具備Git/Gitflow操作，包含branch、",桃園市中壢區,待遇面議,//www.104.com.tw/job/718o5?jobsource=jolist_c_relevance
資深Python工程師,米約科技有限公司,"工作內容
1. 系統開發與維護
2. 監控資料庫效能，適時針對 SQL語法效能優化
3. 產品需求評估，參與專案執行
4. 第三方API整合、API開發
5. 規劃執行數據備援、修補計畫
6. 開發文件落實",台北市中山區,待遇面議,//www.104.com.tw/job/7469r?jobsource=jolist_c_relevance
python工程師,雄獅資訊科技股份有限公司,"工作內容：
1. 負責公司之 Data Science API維護和新功能開發
2. 系統測試代碼實現，自動化測試
3. 參與.討論.協助專案架構設計

職務需求：
1.熟悉 Python3, Pandas
2.熟悉 Flask 框架
3.熟悉 Git 開發管理專案
4.熟悉 MsSql 及 MongoDB 資料庫",台北市內湖區,待遇面議,//www.104.com.tw/job/71rxc?jobsource=jolist_c_relevance
【實習/工讀】軟體工程師(Java/Python),艾斯移動股份有限公司,"【工作內容】
作為AI部門的實習生，您將在資深同仁的帶領下，實際參與並負責智能客服及AI相關應用服務的設計、開發、測試、部署與維護等工作。

【需求條件】
1.   擁有1年以上 Java或 Python研發經驗 
2.   每週至少出席三天",台北市大安區,時薪160元,//www.104.com.tw/job/6rj5s?jobsource=jolist_c_relevance
Python軟體工程師,奇力速工業股份有限公司,"1. 熟悉Python程式語言
2. 熟悉QT Designer 和Pyside2 
3. 擁有通訊技術能力: 如RS232、TCP、UART...
4. 維護及修改公司既有產品
5. 具備良好之溝通、團隊合作之能力。
6. 對新設備新領域開發有",新北市新莊區,待遇面議,//www.104.com.tw/job/6vayl?jobsource=jolist_c_relevance
Python工程師,博賢智能科技有限公司,"工作內容:
• 負責對系統進行算法優化，從數據處理、模型結構設計及訓練腳本編寫，並執行訓練及調參。

技能要求：
1. 具電腦相關學位；
2. 熟悉python及常用模組；
3. 理解機器學習方法的優缺點和適用領域，有採用機器學習方法解決實際問題",澳門特別行政區,待遇面議,//www.104.com.tw/job/77m2i?jobsource=jolist_c_relevance
Android 測試工程師Jave or Python (無經驗可),台灣愛渠西來技術股份有限公司," Programming language: Python or Java
",新北市板橋區,"年薪650,000~1,000,000元",//www.104.com.tw/job/7aiqr?jobsource=jolist_c_relevance
Python Django Web Developer (系統開發一部),永豐金證券股份有限公司,We are looking for  Python Django Web Developers responsible for managing the interchange of data between the server and,台北市中正區,待遇面議,//www.104.com.tw/job/6winm?jobsource=jolist_c_relevance
Python軟體工程師,宅急網股份有限公司,"工作項目：
1. 爬取股市相關資料的分析。
2. 撰寫股票選股策略。
3. Python程式設計。
4. MySQL資料庫管理。
5. 主管交辦事項。


此職務需具備以下特質：
1. 熟悉Python程式、MySQL資料庫語法",桃園市桃園區,待遇面議,//www.104.com.tw/job/7av6x?jobsource=jolist_c_relevance
Android QA Python測試工程師(資工系應畢),台灣愛渠西來技術股份有限公司," Programming language: Python or Java
",新北市板橋區,"年薪650,000~1,000,000元",//www.104.com.tw/job/7aj5q?jobsource=jolist_c_relevance
後端工程師-Python / PHP ( Invos 發票存摺 ),睿點行動股份有限公司," build
      ・selenium
      ・Google Cloud Platform
以利系統穩定及面對百萬流量的系統壓力


【職務需求】
- 資訊工程背景 或 一年以上後端開發經驗
- 具備 Python 或 PHP 開發
-",台北市松山區,"年薪700,000~1,000,000元",//www.104.com.tw/job/77s9c?jobsource=jolist_c_relevance
【創生處】 Python 數據分析師,資策會_財團法人資訊工業策進會,"1.Python 語法及分析步驟經驗
2.資料庫 CRUD 等應用能力經驗
3.前處理、ETL及特徵轉換經驗佳
4.科技趨勢研究、專利提案及撰寫專案計畫規格
5.研發論文、閱讀及分享能力
6.協助工廠內部大數據應用、分析及監測相關應用

",南投縣南投市,待遇面議,//www.104.com.tw/job/76ger?jobsource=jolist_c_relevance
資深後端工程師(python),台灣幣蜂數位有限公司,"

1.熟悉 linux c/c++ 、go、python ，java 的一種或多種；
2.熟悉網絡編程，深入理解 HTTP、TCP/IP 等網絡協議；
3.深入理解數據庫或 NOSQL 系統，有實際數據庫調優或 NOSQL 使用經驗；
4.深刻理",台北市內湖區,"月薪80,000~120,000元",//www.104.com.tw/job/7aeco?jobsource=jolist_c_relevance
資訊部Python 工程師,童綜合醫療社團法人童綜合醫院,"熟Python, Flask, Pandas, 基本SQL語法。
對HTML，CSS，Javascript有基本之認識(不一定要非常專精，但與前端工程師溝通時會需要初階的知識)。
具備Linux基本操作能力，與基本Git使用能力。
具備良好",台中市梧棲區,"月薪35,000~60,000元",//www.104.com.tw/job/6upji?jobsource=jolist_c_relevance
【工業4.0／智慧製造】大數據分析工程師（Python）採視訊面談,欣興電子股份有限公司,"1. 大數據資料分析及應用
2. 運用統計分析方法及機器學習提出適合演算模型
3. 自動控制與資料視覺化呈現
4. 生產製造時間序列分析系統建立

【加分項目】
具JAVA、SQL 程式能力者優

#Python
#機器學習 Machine",桃園市龜山區,"月薪32,000~70,000元",//www.104.com.tw/job/6mjk0?jobsource=jolist_c_relevance
(後台系統開發)python軟體工程師,紅石資訊有限公司," 幫助他人共同進步

 任職要求
1. 3年以上Python開發經驗
2. 1年以上運維相關工作經驗
3. 有RESTful API 設計及實作經驗
4. 精通Django、Django Rest Framework、Flask框架
5. 熟悉",台北市內湖區,"月薪60,000元以上",//www.104.com.tw/job/7288s?jobsource=jolist_c_relevance
副軟體工程師 (Python),美商連科股份有限公司,"待遇：6萬~7.5萬 * 14個月
職缺：Python Developer 1人

Join us in building the best e-commerce SaaS platform to revolutionize how",台北市內湖區,"月薪60,000~75,000元",//www.104.com.tw/job/79qh7?jobsource=jolist_c_relevance
Windows Platform Validation Engineer (Python),新加坡商優思特股份有限公司台灣分公司,"-Execute test cases and update test results.
-Triage, file, and follow through defects till closure.
-Involved in all defect management related activities and proactively work with the team to drive defects to closure.
-Publish status reports on request.
-Contribute to test automation.",台北市南港區,待遇面議,//www.104.com.tw/job/6tfzo?jobsource=jolist_c_relevance
軟體應用工程師 C or Python (FAE),和瑞科技股份有限公司,"在台灣北中南部出差
  3. 配合專案需求, 需短期出差中國及東南亞
  4. on board後建議備車，公司有相關津貼補助

【技術需求】

  1. (MUST) 有C 或 Python程式開發能力或專案開發經驗，或有其他程式語言相關經驗",新竹縣竹北市,"月薪50,000~70,000元",//www.104.com.tw/job/5esa0?jobsource=jolist_c_relevance
(真摯徵求) Python後端工程師,伊諾科技有限公司,"1. 以Python Framework MVC架構建立高度可擴展的Web應用程序設計。
2. 開發和測試Python / Javascript程序完成模組化管理頁面。
3. 透過跨職能的多方溝通需求，定義Web應用程序的功能開發項目，並且實",台北市內湖區,待遇面議,//www.104.com.tw/job/70asp?jobsource=jolist_c_relevance
